iter 1250, lr: 0.2, attr_lr: 0, batch_loss: 0.63240712240793, train_err: 0.203125, grad_norm: 0.00018351626588241
Testing... 
average test_loss = 0.6257469447874, average test_pred_err = 0.184
iter 1251, lr: 0.2, attr_lr: 0, batch_loss: 0.63056997770033, train_err: 0.193359375, grad_norm: 0.00016231149975878
iter 1252, lr: 0.2, attr_lr: 0, batch_loss: 0.63986620593128, train_err: 0.216796875, grad_norm: 0.0001363911869283
iter 1253, lr: 0.2, attr_lr: 0, batch_loss: 0.62989687720017, train_err: 0.201171875, grad_norm: 0.00020152749377084
iter 1254, lr: 0.2, attr_lr: 0, batch_loss: 0.63248809888236, train_err: 0.216796875, grad_norm: 0.00019277076342962
iter 1255, lr: 0.2, attr_lr: 0, batch_loss: 0.6317772042772, train_err: 0.197265625, grad_norm: 0.00018508620651016
iter 1256, lr: 0.2, attr_lr: 0, batch_loss: 0.62946832119951, train_err: 0.21875, grad_norm: 0.00020622041571765
iter 1257, lr: 0.2, attr_lr: 0, batch_loss: 0.63016552311446, train_err: 0.203125, grad_norm: 0.00020203703122118
iter 1258, lr: 0.2, attr_lr: 0, batch_loss: 0.62894166299628, train_err: 0.205078125, grad_norm: 0.00022378501866855
iter 1259, lr: 0.2, attr_lr: 0, batch_loss: 0.63564572167955, train_err: 0.197265625, grad_norm: 0.00017919732594408
iter 1260, lr: 0.2, attr_lr: 0, batch_loss: 0.63395403613021, train_err: 0.19921875, grad_norm: 0.00018071869711435
iter 1261, lr: 0.2, attr_lr: 0, batch_loss: 0.62654745572554, train_err: 0.1796875, grad_norm: 0.00020822626098792
iter 1262, lr: 0.2, attr_lr: 0, batch_loss: 0.62970302686194, train_err: 0.19921875, grad_norm: 0.00020318611855828
iter 1263, lr: 0.2, attr_lr: 0, batch_loss: 0.63534452306714, train_err: 0.212890625, grad_norm: 0.00016925009457236
iter 1264, lr: 0.2, attr_lr: 0, batch_loss: 0.63100598988773, train_err: 0.236328125, grad_norm: 0.00018708018907729
iter 1265, lr: 0.2, attr_lr: 0, batch_loss: 0.63010976504614, train_err: 0.185546875, grad_norm: 0.00017636533188526
iter 1266, lr: 0.2, attr_lr: 0, batch_loss: 0.63269743084079, train_err: 0.20703125, grad_norm: 0.00015680548101324
iter 1267, lr: 0.2, attr_lr: 0, batch_loss: 0.63503854230558, train_err: 0.220703125, grad_norm: 0.00018998392078233
iter 1268, lr: 0.2, attr_lr: 0, batch_loss: 0.63085395663453, train_err: 0.189453125, grad_norm: 0.00017843224269892
iter 1269, lr: 0.2, attr_lr: 0, batch_loss: 0.62246593496184, train_err: 0.1796875, grad_norm: 0.00023866446680634
iter 1270, lr: 0.2, attr_lr: 0, batch_loss: 0.63372953436598, train_err: 0.232421875, grad_norm: 0.00017152082525381
iter 1271, lr: 0.2, attr_lr: 0, batch_loss: 0.634566894314, train_err: 0.22265625, grad_norm: 0.00017320300795063
iter 1272, lr: 0.2, attr_lr: 0, batch_loss: 0.62815338324205, train_err: 0.185546875, grad_norm: 0.00018996583355343
iter 1273, lr: 0.2, attr_lr: 0, batch_loss: 0.63482596047582, train_err: 0.208984375, grad_norm: 0.0001812949156511
iter 1274, lr: 0.2, attr_lr: 0, batch_loss: 0.63160388995383, train_err: 0.193359375, grad_norm: 0.00018754085984225
iter 1275, lr: 0.2, attr_lr: 0, batch_loss: 0.62624764951926, train_err: 0.185546875, grad_norm: 0.00025665781793576
iter 1276, lr: 0.2, attr_lr: 0, batch_loss: 0.63136557262344, train_err: 0.20703125, grad_norm: 0.00016087633761024
iter 1277, lr: 0.2, attr_lr: 0, batch_loss: 0.62586866916513, train_err: 0.19140625, grad_norm: 0.000224672912637
