Creating model... done
Preparing data... done
Training with snapshotting disabled... 
Testing... 
average test_loss = 0.12849717439226, average test_pred_err = 0.051
iter 1, lr: 2, attr_lr: 0.5, batch_loss: 0.10729205275843, train_err: 0.033203125, grad_norm: 1.2130923932143
iter 2, lr: 2, attr_lr: 0.5, batch_loss: 0.12790238889955, train_err: 0.0546875, grad_norm: 0.051951795783824
iter 3, lr: 2, attr_lr: 0.5, batch_loss: 0.13502023841397, train_err: 0.048828125, grad_norm: 0.053191248493769
iter 4, lr: 2, attr_lr: 0.5, batch_loss: 0.14680135539495, train_err: 0.0625, grad_norm: 0.058209552008367
iter 5, lr: 2, attr_lr: 0.5, batch_loss: 0.14780773902323, train_err: 0.0625, grad_norm: 0.067479787395224
iter 6, lr: 2, attr_lr: 0.5, batch_loss: 0.12795659519589, train_err: 0.037109375, grad_norm: 0.060443062569859
iter 7, lr: 2, attr_lr: 0.5, batch_loss: 0.1192366674421, train_err: 0.044921875, grad_norm: 0.052223365191508
iter 8, lr: 2, attr_lr: 0.5, batch_loss: 0.13018394104292, train_err: 0.05078125, grad_norm: 0.063978022853502
iter 9, lr: 2, attr_lr: 0.5, batch_loss: 0.13209478432518, train_err: 0.044921875, grad_norm: 0.055385370483738
iter 10, lr: 2, attr_lr: 0.5, batch_loss: 0.13909727372738, train_err: 0.052734375, grad_norm: 0.053874931832924
iter 11, lr: 2, attr_lr: 0.5, batch_loss: 0.11206880973812, train_err: 0.03125, grad_norm: 0.060934157199161
