Loading pretrained model... done
Testing... average test_loss = 7.1997453351198, average test_pred_err = 0.499
Iteration no. 1, lr = 2, attribute lr =0.02, average batch_loss = 8.0206241799606, Training Error = 0.48828125
Iteration no. 2, lr = 2, attribute lr =0.02, average batch_loss = 3.8511027182006, Training Error = 0.4921875
Iteration no. 3, lr = 2, attribute lr =0.02, average batch_loss = 1.6104330026476, Training Error = 0.5078125
Iteration no. 4, lr = 2, attribute lr =0.02, average batch_loss = 1.4692333424742, Training Error = 0.462890625
Iteration no. 5, lr = 2, attribute lr =0.02, average batch_loss = 1.6009583855164, Training Error = 0.5
Iteration no. 6, lr = 2, attribute lr =0.02, average batch_loss = 1.065855532193, Training Error = 0.447265625
Iteration no. 7, lr = 2, attribute lr =0.02, average batch_loss = 0.9786735076698, Training Error = 0.427734375
Iteration no. 8, lr = 2, attribute lr =0.02, average batch_loss = 1.0026356397938, Training Error = 0.494140625
Iteration no. 9, lr = 2, attribute lr =0.02, average batch_loss = 0.89592277827328, Training Error = 0.4375
Iteration no. 10, lr = 2, attribute lr =0.02, average batch_loss = 0.9160001769221, Training Error = 0.466796875
Iteration no. 11, lr = 2, attribute lr =0.02, average batch_loss = 1.0147040170731, Training Error = 0.48828125
Iteration no. 12, lr = 2, attribute lr =0.02, average batch_loss = 0.8227887888194, Training Error = 0.443359375
Iteration no. 13, lr = 2, attribute lr =0.02, average batch_loss = 0.87378398938183, Training Error = 0.46484375
Iteration no. 14, lr = 2, attribute lr =0.02, average batch_loss = 0.96157597951856, Training Error = 0.486328125
Iteration no. 15, lr = 2, attribute lr =0.02, average batch_loss = 1.1630202015659, Training Error = 0.4765625
Iteration no. 16, lr = 2, attribute lr =0.02, average batch_loss = 0.92288655901485, Training Error = 0.484375
Iteration no. 17, lr = 2, attribute lr =0.02, average batch_loss = 0.99907034049626, Training Error = 0.482421875
Iteration no. 18, lr = 2, attribute lr =0.02, average batch_loss = 0.77356981628273, Training Error = 0.435546875
Iteration no. 19, lr = 2, attribute lr =0.02, average batch_loss = 0.73817336630912, Training Error = 0.453125
Iteration no. 20, lr = 2, attribute lr =0.02, average batch_loss = 0.67441481580659, Training Error = 0.3984375
Iteration no. 21, lr = 2, attribute lr =0.02, average batch_loss = 0.70696695689069, Training Error = 0.431640625
Iteration no. 22, lr = 2, attribute lr =0.02, average batch_loss = 0.72585905608371, Training Error = 0.435546875
Iteration no. 23, lr = 2, attribute lr =0.02, average batch_loss = 0.7555818913571, Training Error = 0.4453125
Iteration no. 24, lr = 2, attribute lr =0.02, average batch_loss = 0.72065348098207, Training Error = 0.416015625
Iteration no. 25, lr = 2, attribute lr =0.02, average batch_loss = 0.7757900259726, Training Error = 0.435546875
Iteration no. 26, lr = 2, attribute lr =0.02, average batch_loss = 0.72808538613322, Training Error = 0.419921875
Iteration no. 27, lr = 2, attribute lr =0.02, average batch_loss = 0.71477009108217, Training Error = 0.427734375
Iteration no. 28, lr = 2, attribute lr =0.02, average batch_loss = 0.71846374176109, Training Error = 0.427734375
Iteration no. 29, lr = 2, attribute lr =0.02, average batch_loss = 0.73973772923606, Training Error = 0.44921875
Iteration no. 30, lr = 2, attribute lr =0.02, average batch_loss = 0.67353540796657, Training Error = 0.40625
Iteration no. 31, lr = 2, attribute lr =0.02, average batch_loss = 0.7184480516062, Training Error = 0.40625
Iteration no. 32, lr = 2, attribute lr =0.02, average batch_loss = 0.69443804610363, Training Error = 0.416015625
Iteration no. 33, lr = 2, attribute lr =0.02, average batch_loss = 0.7187693559387, Training Error = 0.404296875
Iteration no. 34, lr = 2, attribute lr =0.02, average batch_loss = 0.68580517858542, Training Error = 0.41015625
Iteration no. 35, lr = 2, attribute lr =0.02, average batch_loss = 0.721935651153, Training Error = 0.419921875
Iteration no. 36, lr = 2, attribute lr =0.02, average batch_loss = 0.68667820524777, Training Error = 0.416015625
Iteration no. 37, lr = 2, attribute lr =0.02, average batch_loss = 0.66354380113344, Training Error = 0.365234375
Iteration no. 38, lr = 2, attribute lr =0.02, average batch_loss = 0.67910910379558, Training Error = 0.400390625
Iteration no. 39, lr = 2, attribute lr =0.02, average batch_loss = 0.66959688959837, Training Error = 0.431640625
Iteration no. 40, lr = 2, attribute lr =0.02, average batch_loss = 0.65896595259671, Training Error = 0.376953125
Iteration no. 41, lr = 2, attribute lr =0.02, average batch_loss = 0.65879791252257, Training Error = 0.39453125
Iteration no. 42, lr = 2, attribute lr =0.02, average batch_loss = 0.65973417855079, Training Error = 0.392578125
Iteration no. 43, lr = 2, attribute lr =0.02, average batch_loss = 0.64726963599781, Training Error = 0.37890625
Iteration no. 44, lr = 2, attribute lr =0.02, average batch_loss = 0.62043553681066, Training Error = 0.33203125
Iteration no. 45, lr = 2, attribute lr =0.02, average batch_loss = 0.63581965375026, Training Error = 0.35546875
Iteration no. 46, lr = 2, attribute lr =0.02, average batch_loss = 0.6697265636418, Training Error = 0.4375
Iteration no. 47, lr = 2, attribute lr =0.02, average batch_loss = 0.63016461306221, Training Error = 0.34375
Iteration no. 48, lr = 2, attribute lr =0.02, average batch_loss = 0.65553440187005, Training Error = 0.38671875
Iteration no. 49, lr = 2, attribute lr =0.02, average batch_loss = 0.65258976087985, Training Error = 0.373046875
Iteration no. 50, lr = 2, attribute lr =0.02, average batch_loss = 0.64491885139241, Training Error = 0.3828125
Testing... average test_loss = 0.74119971738559, average test_pred_err = 0.508
Iteration no. 51, lr = 2, attribute lr =0.02, average batch_loss = 0.62562442419549, Training Error = 0.34765625
Iteration no. 52, lr = 2, attribute lr =0.02, average batch_loss = 0.63041508808766, Training Error = 0.376953125
