Loading pretrained model... done
Testing... average test_loss = 6.8737384969377, average test_pred_err = 0.456
Iteration no. 1, lr = 2, attribute lr =0.02, average batch_loss = 8.2180102632527, Training Error = 0.494140625
Iteration no. 2, lr = 2, attribute lr =0.02, average batch_loss = 5.088813400174, Training Error = 0.546875
Iteration no. 3, lr = 2, attribute lr =0.02, average batch_loss = 1.5999645886911, Training Error = 0.49609375
Iteration no. 4, lr = 2, attribute lr =0.02, average batch_loss = 2.1799362263749, Training Error = 0.490234375
Iteration no. 5, lr = 2, attribute lr =0.02, average batch_loss = 1.7560472236752, Training Error = 0.490234375
Iteration no. 6, lr = 2, attribute lr =0.02, average batch_loss = 1.2149376861166, Training Error = 0.5078125
Iteration no. 7, lr = 2, attribute lr =0.02, average batch_loss = 1.3072991738473, Training Error = 0.47265625
Iteration no. 8, lr = 2, attribute lr =0.02, average batch_loss = 1.2475439957914, Training Error = 0.525390625
Iteration no. 9, lr = 2, attribute lr =0.02, average batch_loss = 1.3892398924499, Training Error = 0.484375
Iteration no. 10, lr = 2, attribute lr =0.02, average batch_loss = 0.94015452675893, Training Error = 0.439453125
Iteration no. 11, lr = 2, attribute lr =0.02, average batch_loss = 0.97719351671361, Training Error = 0.458984375
Iteration no. 12, lr = 2, attribute lr =0.02, average batch_loss = 0.88643733484565, Training Error = 0.46875
Iteration no. 13, lr = 2, attribute lr =0.02, average batch_loss = 1.0421606032151, Training Error = 0.474609375
Iteration no. 14, lr = 2, attribute lr =0.02, average batch_loss = 1.0768274869687, Training Error = 0.53125
Iteration no. 15, lr = 2, attribute lr =0.02, average batch_loss = 1.221407620496, Training Error = 0.49609375
Iteration no. 16, lr = 2, attribute lr =0.02, average batch_loss = 0.81072808681378, Training Error = 0.458984375
Iteration no. 17, lr = 2, attribute lr =0.02, average batch_loss = 0.80629994845649, Training Error = 0.4140625
Iteration no. 18, lr = 2, attribute lr =0.02, average batch_loss = 0.78480123367955, Training Error = 0.451171875
Iteration no. 19, lr = 2, attribute lr =0.02, average batch_loss = 0.93190368664287, Training Error = 0.48046875
Iteration no. 20, lr = 2, attribute lr =0.02, average batch_loss = 0.97535065263514, Training Error = 0.482421875
Iteration no. 21, lr = 2, attribute lr =0.02, average batch_loss = 0.95024166859366, Training Error = 0.48046875
Iteration no. 22, lr = 2, attribute lr =0.02, average batch_loss = 0.76807565955925, Training Error = 0.43359375
Iteration no. 23, lr = 2, attribute lr =0.02, average batch_loss = 0.79811281020914, Training Error = 0.435546875
Iteration no. 24, lr = 2, attribute lr =0.02, average batch_loss = 0.77065652820459, Training Error = 0.478515625
Iteration no. 25, lr = 2, attribute lr =0.02, average batch_loss = 0.76090899587925, Training Error = 0.42578125
Iteration no. 26, lr = 2, attribute lr =0.02, average batch_loss = 0.71549647987039, Training Error = 0.416015625
Iteration no. 27, lr = 2, attribute lr =0.02, average batch_loss = 0.7323966958121, Training Error = 0.443359375
Iteration no. 28, lr = 2, attribute lr =0.02, average batch_loss = 0.71162622009614, Training Error = 0.421875
Iteration no. 29, lr = 2, attribute lr =0.02, average batch_loss = 0.70002147299833, Training Error = 0.4375
Iteration no. 30, lr = 2, attribute lr =0.02, average batch_loss = 0.69115337352641, Training Error = 0.4375
Iteration no. 31, lr = 2, attribute lr =0.02, average batch_loss = 0.78988834141925, Training Error = 0.509765625
Iteration no. 32, lr = 2, attribute lr =0.02, average batch_loss = 0.84582246785924, Training Error = 0.4765625
Iteration no. 33, lr = 2, attribute lr =0.02, average batch_loss = 0.87443933770948, Training Error = 0.515625
Iteration no. 34, lr = 2, attribute lr =0.02, average batch_loss = 0.83361985595512, Training Error = 0.509765625
Iteration no. 35, lr = 2, attribute lr =0.02, average batch_loss = 0.76992573900746, Training Error = 0.453125
Iteration no. 36, lr = 2, attribute lr =0.02, average batch_loss = 0.70543130473527, Training Error = 0.419921875
Iteration no. 37, lr = 2, attribute lr =0.02, average batch_loss = 0.69429656810854, Training Error = 0.421875
Iteration no. 38, lr = 2, attribute lr =0.02, average batch_loss = 0.65929463960653, Training Error = 0.375
Iteration no. 39, lr = 2, attribute lr =0.02, average batch_loss = 0.63226187364073, Training Error = 0.373046875
Iteration no. 40, lr = 2, attribute lr =0.02, average batch_loss = 0.66336952944778, Training Error = 0.392578125
Iteration no. 41, lr = 2, attribute lr =0.02, average batch_loss = 0.668963324567, Training Error = 0.39453125
Iteration no. 42, lr = 2, attribute lr =0.02, average batch_loss = 0.68254278638375, Training Error = 0.404296875
Iteration no. 43, lr = 2, attribute lr =0.02, average batch_loss = 0.59300839546457, Training Error = 0.3203125
Iteration no. 44, lr = 2, attribute lr =0.02, average batch_loss = 0.63244220267908, Training Error = 0.384765625
Iteration no. 45, lr = 2, attribute lr =0.02, average batch_loss = 0.63257290635126, Training Error = 0.33984375
Iteration no. 46, lr = 2, attribute lr =0.02, average batch_loss = 0.65152825811958, Training Error = 0.37890625
Iteration no. 47, lr = 2, attribute lr =0.02, average batch_loss = 0.61718951412333, Training Error = 0.33984375
Iteration no. 48, lr = 2, attribute lr =0.02, average batch_loss = 0.64492808454799, Training Error = 0.37890625
Iteration no. 49, lr = 2, attribute lr =0.02, average batch_loss = 0.64309014473235, Training Error = 0.384765625
Iteration no. 50, lr = 2, attribute lr =0.02, average batch_loss = 0.65781972428625, Training Error = 0.400390625
Testing... average test_loss = 0.72403621871645, average test_pred_err = 0.488
Iteration no. 51, lr = 2, attribute lr =0.02, average batch_loss = 0.64671093571333, Training Error = 0.39453125
Iteration no. 52, lr = 2, attribute lr =0.02, average batch_loss = 0.66359345848639, Training Error = 0.37109375
Iteration no. 53, lr = 2, attribute lr =0.02, average batch_loss = 0.65969581528765, Training Error = 0.390625
Iteration no. 54, lr = 2, attribute lr =0.02, average batch_loss = 0.6712915012909, Training Error = 0.416015625
Iteration no. 55, lr = 2, attribute lr =0.02, average batch_loss = 0.62613396879271, Training Error = 0.369140625
Iteration no. 56, lr = 2, attribute lr =0.02, average batch_loss = 0.65417252634889, Training Error = 0.400390625
Iteration no. 57, lr = 2, attribute lr =0.02, average batch_loss = 0.64071356916833, Training Error = 0.380859375
Iteration no. 58, lr = 2, attribute lr =0.02, average batch_loss = 0.63439654785984, Training Error = 0.373046875
Iteration no. 59, lr = 2, attribute lr =0.02, average batch_loss = 0.63389431586571, Training Error = 0.353515625
Iteration no. 60, lr = 2, attribute lr =0.02, average batch_loss = 0.63207830724961, Training Error = 0.337890625
Iteration no. 61, lr = 2, attribute lr =0.02, average batch_loss = 0.63616050182156, Training Error = 0.37109375
Iteration no. 62, lr = 2, attribute lr =0.02, average batch_loss = 0.64618198747768, Training Error = 0.380859375
Iteration no. 63, lr = 2, attribute lr =0.02, average batch_loss = 0.6200036962703, Training Error = 0.345703125
Iteration no. 64, lr = 2, attribute lr =0.02, average batch_loss = 0.64583360192136, Training Error = 0.3828125
