Creating model... done
Training with snapshotting enabled... 
Testing... 
test_loss = 0.75552588701248, test_pred_err = 0.4921875
iter 1, lr: 2, attr_lr: 0, batch_loss: 0.74227534234524, train_err: 0.484375, grad_norm: 0.084692731499672, mem: 6276.236328125
iter 2, lr: 2, attr_lr: 0, batch_loss: 0.70264026522636, train_err: 0.453125, grad_norm: 0.069866076111794, mem: 4048.6298828125
iter 3, lr: 2, attr_lr: 0, batch_loss: 0.68908286094666, train_err: 0.4453125, grad_norm: 0.050885535776615, mem: 6410.9609375
iter 4, lr: 2, attr_lr: 0, batch_loss: 0.70295011997223, train_err: 0.5, grad_norm: 0.048027627170086, mem: 4280.447265625
iter 5, lr: 2, attr_lr: 0, batch_loss: 0.69644469022751, train_err: 0.5078125, grad_norm: 0.041497446596622, mem: 5931.298828125
iter 6, lr: 2, attr_lr: 0, batch_loss: 0.69394117593765, train_err: 0.4765625, grad_norm: 0.040221497416496, mem: 5813.3994140625
iter 7, lr: 2, attr_lr: 0, batch_loss: 0.69218254089355, train_err: 0.4921875, grad_norm: 0.027586545795202, mem: 3814.0341796875
iter 8, lr: 2, attr_lr: 0, batch_loss: 0.68881550431252, train_err: 0.453125, grad_norm: 0.02995833568275, mem: 4619.3017578125
iter 9, lr: 2, attr_lr: 0, batch_loss: 0.69238439202309, train_err: 0.5078125, grad_norm: 0.033344715833664, mem: 4568.4130859375
iter 10, lr: 2, attr_lr: 0, batch_loss: 0.68808779120445, train_err: 0.5078125, grad_norm: 0.039358917623758, mem: 5446.0390625
iter 11, lr: 2, attr_lr: 0, batch_loss: 0.69471871852875, train_err: 0.5, grad_norm: 0.040574803948402, mem: 3477.828125
iter 12, lr: 2, attr_lr: 0, batch_loss: 0.70062386989594, train_err: 0.5078125, grad_norm: 0.032966531813145, mem: 6270.40234375
iter 13, lr: 2, attr_lr: 0, batch_loss: 0.68646541237831, train_err: 0.4296875, grad_norm: 0.031023038551211, mem: 6072.4501953125
iter 14, lr: 2, attr_lr: 0, batch_loss: 0.68013694882393, train_err: 0.3359375, grad_norm: 0.030977619811893, mem: 6013.2744140625
iter 15, lr: 2, attr_lr: 0, batch_loss: 0.68923273682594, train_err: 0.5390625, grad_norm: 0.039470832794905, mem: 4210.0927734375
iter 16, lr: 2, attr_lr: 0, batch_loss: 0.6769392490387, train_err: 0.390625, grad_norm: 0.035946127027273, mem: 4001.55078125
iter 17, lr: 2, attr_lr: 0, batch_loss: 0.66988095641136, train_err: 0.328125, grad_norm: 0.034787632524967, mem: 6075.0791015625
iter 18, lr: 2, attr_lr: 0, batch_loss: 0.66150906682014, train_err: 0.2421875, grad_norm: 0.036598905920982, mem: 3713.9091796875
iter 19, lr: 2, attr_lr: 0, batch_loss: 0.6700846850872, train_err: 0.375, grad_norm: 0.046637374907732, mem: 3900.3515625
iter 20, lr: 2, attr_lr: 0, batch_loss: 0.66006150841713, train_err: 0.3515625, grad_norm: 0.033531218767166, mem: 3867.982421875
iter 21, lr: 2, attr_lr: 0, batch_loss: 0.66531121730804, train_err: 0.5078125, grad_norm: 0.086117438971996, mem: 3836.3896484375
iter 22, lr: 2, attr_lr: 0, batch_loss: 0.67901560664177, train_err: 0.46875, grad_norm: 0.0676489174366, mem: 3797.5
iter 23, lr: 2, attr_lr: 0, batch_loss: 0.64848446846008, train_err: 0.375, grad_norm: 0.09752743691206, mem: 3767.6591796875
iter 24, lr: 2, attr_lr: 0, batch_loss: 0.6130037009716, train_err: 0.28125, grad_norm: 0.08236213773489, mem: 3748.064453125
iter 25, lr: 2, attr_lr: 0, batch_loss: 0.6428425014019, train_err: 0.390625, grad_norm: 0.10482012480497, mem: 3718.802734375
iter 26, lr: 2, attr_lr: 0, batch_loss: 0.61484360694885, train_err: 0.296875, grad_norm: 0.11624029278755, mem: 3687.166015625
iter 27, lr: 2, attr_lr: 0, batch_loss: 0.61366668343544, train_err: 0.3828125, grad_norm: 0.097194634377956, mem: 3655.87109375
iter 28, lr: 2, attr_lr: 0, batch_loss: 0.65530639886856, train_err: 0.46875, grad_norm: 0.16377106308937, mem: 3626.71875
iter 29, lr: 2, attr_lr: 0, batch_loss: 0.64163690805435, train_err: 0.375, grad_norm: 0.11688534170389, mem: 3598.71484375
iter 30, lr: 2, attr_lr: 0, batch_loss: 0.63994950056076, train_err: 0.4296875, grad_norm: 0.1802473962307, mem: 3566.12109375
iter 31, lr: 2, attr_lr: 0, batch_loss: 0.61292618513107, train_err: 0.2890625, grad_norm: 0.11958155035973, mem: 3548.8037109375
iter 32, lr: 2, attr_lr: 0, batch_loss: 0.5956639945507, train_err: 0.2578125, grad_norm: 0.15806071460247, mem: 3526.1416015625
iter 33, lr: 2, attr_lr: 0, batch_loss: 0.57048925757408, train_err: 0.2421875, grad_norm: 0.14700071513653, mem: 3498.4208984375
iter 34, lr: 2, attr_lr: 0, batch_loss: 0.59780541062355, train_err: 0.3125, grad_norm: 0.158572524786, mem: 7290.00390625
iter 35, lr: 2, attr_lr: 0, batch_loss: 0.63578903675079, train_err: 0.4296875, grad_norm: 0.11323086172342, mem: 5341.8798828125
iter 36, lr: 2, attr_lr: 0, batch_loss: 0.60331004858017, train_err: 0.3046875, grad_norm: 0.16199055314064, mem: 4608.1875
iter 37, lr: 2, attr_lr: 0, batch_loss: 0.62835919857025, train_err: 0.34375, grad_norm: 0.17554481327534, mem: 4573.626953125
iter 38, lr: 2, attr_lr: 0, batch_loss: 0.57222101092339, train_err: 0.2734375, grad_norm: 0.16045790910721, mem: 5286.4658203125
iter 39, lr: 2, attr_lr: 0, batch_loss: 0.55652207136154, train_err: 0.28125, grad_norm: 0.1917954236269, mem: 6853.0078125
iter 40, lr: 2, attr_lr: 0, batch_loss: 0.58415246009827, train_err: 0.3125, grad_norm: 0.17502610385418, mem: 6818.7734375
iter 41, lr: 2, attr_lr: 0, batch_loss: 0.61679741740227, train_err: 0.375, grad_norm: 0.28222954273224, mem: 6794.9873046875
iter 42, lr: 2, attr_lr: 0, batch_loss: 0.69426482915878, train_err: 0.53125, grad_norm: 0.17810566723347, mem: 5232.611328125
iter 43, lr: 2, attr_lr: 0, batch_loss: 0.60203397274017, train_err: 0.3046875, grad_norm: 0.22747544944286, mem: 7111.794921875
iter 44, lr: 2, attr_lr: 0, batch_loss: 0.62258571386337, train_err: 0.359375, grad_norm: 0.21773567795753, mem: 5167.755859375
iter 45, lr: 2, attr_lr: 0, batch_loss: 0.57501316070557, train_err: 0.3359375, grad_norm: 0.20936474204063, mem: 7040.3046875
iter 46, lr: 2, attr_lr: 0, batch_loss: 0.67801970243454, train_err: 0.421875, grad_norm: 0.42260739207268, mem: 4269.572265625
iter 47, lr: 2, attr_lr: 0, batch_loss: 0.7837373316288, train_err: 0.578125, grad_norm: 0.12579487264156, mem: 7019.138671875
iter 48, lr: 2, attr_lr: 0, batch_loss: 0.60902012884617, train_err: 0.3125, grad_norm: 0.18722374737263, mem: 4884.91015625
iter 49, lr: 2, attr_lr: 0, batch_loss: 0.51695957779884, train_err: 0.234375, grad_norm: 0.22125485539436, mem: 5822.509765625
iter 50, lr: 2, attr_lr: 0, batch_loss: 0.57094514369965, train_err: 0.2734375, grad_norm: 0.20603889226913, mem: 6652.8818359375
Testing... 
test_loss = 0.47843641042709, test_pred_err = 0.15625
iter 51, lr: 2, attr_lr: 0, batch_loss: 0.62713754177094, train_err: 0.3671875, grad_norm: 0.26525115966797, mem: 7710.7626953125
iter 52, lr: 2, attr_lr: 0, batch_loss: 0.61259104311466, train_err: 0.3203125, grad_norm: 0.21082946658134, mem: 4883.4326171875
iter 53, lr: 2, attr_lr: 0, batch_loss: 0.56092894077301, train_err: 0.296875, grad_norm: 0.25617337226868, mem: 6546.775390625
iter 54, lr: 2, attr_lr: 0, batch_loss: 0.54925826191902, train_err: 0.296875, grad_norm: 0.26920258998871, mem: 6527.7216796875
iter 55, lr: 2, attr_lr: 0, batch_loss: 0.59628787636757, train_err: 0.28125, grad_norm: 0.21636918187141, mem: 6510.7734375
iter 56, lr: 2, attr_lr: 0, batch_loss: 0.57145833969116, train_err: 0.3125, grad_norm: 0.24303796887398, mem: 6500.49609375
iter 57, lr: 2, attr_lr: 0, batch_loss: 0.57183787226677, train_err: 0.3046875, grad_norm: 0.27247312664986, mem: 6482.98828125
iter 58, lr: 2, attr_lr: 0, batch_loss: 0.5844869017601, train_err: 0.3203125, grad_norm: 0.33163210749626, mem: 6471.126953125
iter 59, lr: 2, attr_lr: 0, batch_loss: 0.61443898081779, train_err: 0.328125, grad_norm: 0.22941586375237, mem: 6460.2509765625
iter 60, lr: 2, attr_lr: 0, batch_loss: 0.72545966506004, train_err: 0.453125, grad_norm: 0.38959670066833, mem: 5603.880859375
iter 61, lr: 2, attr_lr: 0, batch_loss: 0.50274574756622, train_err: 0.1875, grad_norm: 0.2319922298193, mem: 5592.8916015625
iter 62, lr: 2, attr_lr: 0, batch_loss: 0.59297385811806, train_err: 0.3046875, grad_norm: 0.35365757346153, mem: 5581.107421875
iter 63, lr: 2, attr_lr: 0, batch_loss: 0.55235913395882, train_err: 0.2890625, grad_norm: 0.29224613308907, mem: 5570.234375
iter 64, lr: 2, attr_lr: 0, batch_loss: 0.50451278686523, train_err: 0.2109375, grad_norm: 0.27938222885132, mem: 5555.62109375
iter 65, lr: 2, attr_lr: 0, batch_loss: 0.54367715120316, train_err: 0.2421875, grad_norm: 0.26891446113586, mem: 6390.9580078125
iter 66, lr: 2, attr_lr: 0, batch_loss: 0.54967761039734, train_err: 0.3125, grad_norm: 0.28517696261406, mem: 5737.6220703125
iter 67, lr: 2, attr_lr: 0, batch_loss: 0.51419603824615, train_err: 0.25, grad_norm: 0.31497478485107, mem: 4881.259765625
iter 68, lr: 2, attr_lr: 0, batch_loss: 0.48678275942802, train_err: 0.21875, grad_norm: 0.27805450558662, mem: 7182.65234375
iter 69, lr: 2, attr_lr: 0, batch_loss: 0.60042697191238, train_err: 0.3203125, grad_norm: 0.39067405462265, mem: 8222.2412109375
iter 70, lr: 2, attr_lr: 0, batch_loss: 0.54477941989899, train_err: 0.265625, grad_norm: 0.33658769726753, mem: 7456.8203125
iter 71, lr: 2, attr_lr: 0, batch_loss: 0.55793929100037, train_err: 0.28125, grad_norm: 0.35453289747238, mem: 7606.328125
iter 72, lr: 2, attr_lr: 0, batch_loss: 0.53335303068161, train_err: 0.2578125, grad_norm: 0.26261356472969, mem: 8279.7236328125
iter 73, lr: 2, attr_lr: 0, batch_loss: 0.52962890267372, train_err: 0.265625, grad_norm: 0.32111567258835, mem: 7429.6982421875
iter 74, lr: 2, attr_lr: 0, batch_loss: 0.59330362081528, train_err: 0.3203125, grad_norm: 0.34304577112198, mem: 6741.8154296875
iter 75, lr: 2, attr_lr: 0, batch_loss: 0.59509745240211, train_err: 0.3125, grad_norm: 0.31093674898148, mem: 5643.201171875
iter 76, lr: 2, attr_lr: 0, batch_loss: 0.51308140158653, train_err: 0.2734375, grad_norm: 0.279909491539, mem: 4788.982421875
iter 77, lr: 2, attr_lr: 0, batch_loss: 0.60807812213898, train_err: 0.3515625, grad_norm: 0.37726387381554, mem: 8240.71484375
iter 78, lr: 2, attr_lr: 0, batch_loss: 0.68055737018585, train_err: 0.4921875, grad_norm: 0.20618596673012, mem: 7389.298828125
